Authors,Title,keywords,Abstract,Year of Publication,Publication Venue,Article Link,Bib,Source
"Zhu, Ying and Xu, Bin and Shi, Xinghua and Wang, Yu",A Survey of Social-Based Routing in Delay Tolerant Networks: Positive and Negative Social Effects,Fault tolerant networks;Social network services;Routing;Relays;Routing protocols;Delays;DTN routing;Social-based approaches;Social graphs;Social network analysis;Delay tolerant networks,"Delay tolerant networks (DTNs) may lack continuous network connectivity. Routing in DTNs is thus challenging since it must handle network partitioning, long delays, and dynamic topology in such networks. In recent years, social-based approaches, which attempt to exploit social behaviors of DTN nodes to make better routing decision, have drawn tremendous interests in DTN routing design. In this article, we summarize the social properties in DTNs, and provide a survey of recent social-based DTN routing approaches. To improve routing performance, these methods either take advantages of positive social characteristics such as community and friendship to assist packet forwarding or consider negative social characteristics such as selfishness. We conclude by discussing some open issues and challenges in social-based approaches regarding the design of DTN routing protocols.",2013,IEEE Communications Surveys & Tutorials,,"{'month': 'First', 'issn': '1553-877X', 'doi': '10.1109/SURV.2012.032612.00004', 'keywords': 'Fault tolerant networks;Social network services;Routing;Relays;Routing protocols;Delays;DTN routing;Social-based approaches;Social graphs;Social network analysis;Delay tolerant networks', 'abstract': 'Delay tolerant networks (DTNs) may lack continuous network connectivity. Routing in DTNs is thus challenging since it must handle network partitioning, long delays, and dynamic topology in such networks. In recent years, social-based approaches, which attempt to exploit social behaviors of DTN nodes to make better routing decision, have drawn tremendous interests in DTN routing design. In this article, we summarize the social properties in DTNs, and provide a survey of recent social-based DTN routing approaches. To improve routing performance, these methods either take advantages of positive social characteristics such as community and friendship to assist packet forwarding or consider negative social characteristics such as selfishness. We conclude by discussing some open issues and challenges in social-based approaches regarding the design of DTN routing protocols.', 'pages': '387-401', 'number': '1', 'volume': '15', 'year': '2013', 'title': 'A Survey of Social-Based Routing in Delay Tolerant Networks: Positive and Negative Social Effects', 'journal': 'IEEE Communications Surveys & Tutorials', 'author': 'Zhu, Ying and Xu, Bin and Shi, Xinghua and Wang, Yu', 'ENTRYTYPE': 'article', 'ID': '6177189'}",IEEE Xplore
"Al-Rubaie, Mohammad and Chang, J. Morris",Privacy-Preserving Machine Learning: Threats and Solutions,Data models;Image reconstruction;Computational modeling;Training;Predictive models;Feature extraction;Testing,"For privacy concerns to be addressed adequately in today's machine-learning (ML) systems, the knowledge gap between the ML and privacy communities must be bridged. This article aims to provide an introduction to the intersection of both fields with special emphasis on the techniques used to protect the data.",2019,IEEE Security & Privacy,,"{'month': 'March', 'issn': '1558-4046', 'doi': '10.1109/MSEC.2018.2888775', 'keywords': 'Data models;Image reconstruction;Computational modeling;Training;Predictive models;Feature extraction;Testing', 'abstract': ""For privacy concerns to be addressed adequately in today's machine-learning (ML) systems, the knowledge gap between the ML and privacy communities must be bridged. This article aims to provide an introduction to the intersection of both fields with special emphasis on the techniques used to protect the data."", 'pages': '49-58', 'number': '2', 'volume': '17', 'year': '2019', 'title': 'Privacy-Preserving Machine Learning: Threats and Solutions', 'journal': 'IEEE Security & Privacy', 'author': 'Al-Rubaie, Mohammad and Chang, J. Morris', 'ENTRYTYPE': 'article', 'ID': '8677282'}",IEEE Xplore
"Emami-Naeini, Pardis and Agarwal, Yuvraj and Faith Cranor, Lorrie and Hibshi, Hanan",Ask the Experts: What Should Be on an IoT Privacy and Security Label?,Security;Privacy;Interviews;Government;Industries;Prototypes;Companies;Internet of Things (IoT);Privacy and Security;Label;Expert Elicitation;Delphi,"Information about the privacy and security of Internet of Things (IoT) devices is not readily available to consumers who want to consider it before making purchase decisions. While legislators have proposed adding succinct, consumer accessible, labels, they do not provide guidance on the content of these labels. In this paper, we report on the results of a series of interviews and surveys with privacy and security experts, as well as consumers, where we explore and test the design space of the content to include on an IoT privacy and security label. We conduct an expert elicitation study by following a three-round Delphi process with 22 privacy and security experts to identify the factors that experts believed are important for consumers when comparing the privacy and security of IoT devices to inform their purchase decisions. Based on how critical experts believed each factor is in conveying risk to consumers, we distributed these factors across two layers-a primary layer to display on the product package itself or prominently on a website, and a secondary layer available online through a web link or a QR code. We report on the experts' rationale and arguments used to support their choice of factors. Moreover, to study how consumers would perceive the privacy and security information specified by experts, we conducted a series of semi-structured interviews with 15 participants, who had purchased at least one IoT device (smart home device or wearable). Based on the results of our expert elicitation and consumer studies, we propose a prototype privacy and security label to help consumers make more informed IoT-related purchase decisions.",2020,2020 IEEE Symposium on Security and Privacy (SP),,"{'month': 'May', 'issn': '2375-1207', 'doi': '10.1109/SP40000.2020.00043', 'keywords': 'Security;Privacy;Interviews;Government;Industries;Prototypes;Companies;Internet of Things (IoT);Privacy and Security;Label;Expert Elicitation;Delphi', 'abstract': ""Information about the privacy and security of Internet of Things (IoT) devices is not readily available to consumers who want to consider it before making purchase decisions. While legislators have proposed adding succinct, consumer accessible, labels, they do not provide guidance on the content of these labels. In this paper, we report on the results of a series of interviews and surveys with privacy and security experts, as well as consumers, where we explore and test the design space of the content to include on an IoT privacy and security label. We conduct an expert elicitation study by following a three-round Delphi process with 22 privacy and security experts to identify the factors that experts believed are important for consumers when comparing the privacy and security of IoT devices to inform their purchase decisions. Based on how critical experts believed each factor is in conveying risk to consumers, we distributed these factors across two layers-a primary layer to display on the product package itself or prominently on a website, and a secondary layer available online through a web link or a QR code. We report on the experts' rationale and arguments used to support their choice of factors. Moreover, to study how consumers would perceive the privacy and security information specified by experts, we conducted a series of semi-structured interviews with 15 participants, who had purchased at least one IoT device (smart home device or wearable). Based on the results of our expert elicitation and consumer studies, we propose a prototype privacy and security label to help consumers make more informed IoT-related purchase decisions."", 'pages': '447-464', 'number': '', 'volume': '', 'year': '2020', 'title': 'Ask the Experts: What Should Be on an IoT Privacy and Security Label?', 'booktitle': '2020 IEEE Symposium on Security and Privacy (SP)', 'author': 'Emami-Naeini, Pardis and Agarwal, Yuvraj and Faith Cranor, Lorrie and Hibshi, Hanan', 'ENTRYTYPE': 'inproceedings', 'ID': '9152770'}",IEEE Xplore
"Wang, Xiaofan and Wang, Lei and Li, Yujun and Gai, Keke",Privacy-Aware Efficient Fine-Grained Data Access Control in Internet of Medical Things Based Fog Computing,Access control;Edge computing;Cloud computing;Servers;Privacy;Internet of Medical Things;fog computing;privacy-aware;fine-grained data access control;privacy time optimization,"The recent development of cloud computing has empowered the Internet-based services, which enable users to gain a broad scope of access to their applications, such as Internet of Medical Things (IoMT). Considering the efficiency performance, the privacy protection is often kept at a lower level in order to ensure the application can offer a higher level performance. However, this mechanism also causes a serious concern of privacy hazards due to the information over collections operated by apps/applications. Addressing this privacy issue, this paper proposes an approach that is designed to provide high-level privacy protection without lowering down the efficiency in cloud/fog computing (especially in biological systems of IoMT). The proposed model is called fog-based access control model. The fine-grained data access control is combined with the implementation of fog computing in the proposed approach. Our simulation experiment has shown that our approach could offer high-level privacy protection within a shortened execution time, thus it can be useful for IoMT-based applications.",2018,IEEE Access,,"{'month': '', 'issn': '2169-3536', 'doi': '10.1109/ACCESS.2018.2856896', 'keywords': 'Access control;Edge computing;Cloud computing;Servers;Privacy;Internet of Medical Things;fog computing;privacy-aware;fine-grained data access control;privacy time optimization', 'abstract': 'The recent development of cloud computing has empowered the Internet-based services, which enable users to gain a broad scope of access to their applications, such as Internet of Medical Things (IoMT). Considering the efficiency performance, the privacy protection is often kept at a lower level in order to ensure the application can offer a higher level performance. However, this mechanism also causes a serious concern of privacy hazards due to the information over collections operated by apps/applications. Addressing this privacy issue, this paper proposes an approach that is designed to provide high-level privacy protection without lowering down the efficiency in cloud/fog computing (especially in biological systems of IoMT). The proposed model is called fog-based access control model. The fine-grained data access control is combined with the implementation of fog computing in the proposed approach. Our simulation experiment has shown that our approach could offer high-level privacy protection within a shortened execution time, thus it can be useful for IoMT-based applications.', 'pages': '47657-47665', 'number': '', 'volume': '6', 'year': '2018', 'title': 'Privacy-Aware Efficient Fine-Grained Data Access Control in Internet of Medical Things Based Fog Computing', 'journal': 'IEEE Access', 'author': 'Wang, Xiaofan and Wang, Lei and Li, Yujun and Gai, Keke', 'ENTRYTYPE': 'article', 'ID': '8412491'}",IEEE Xplore
"Li, Kaiyang and Luo, Guangchun and Ye, Yang and Li, Wei and Ji, Shihao and Cai, Zhipeng",Adversarial Privacy-Preserving Graph Embedding Against Inference Attack,Privacy;Internet of Things;Social networking (online);Topology;Inference algorithms;Differential privacy;Network topology;Adversarial learning;data privacy;graph embedding;inference attack,"Recently, the surge in popularity of the Internet of Things (IoT), mobile devices, social media, etc., has opened up a large source for graph data. Graph embedding has been proved extremely useful to learn low-dimensional feature representations from graph-structured data. These feature representations can be used for a variety of prediction tasks from node classification to link prediction. However, the existing graph embedding methods do not consider users' privacy to prevent inference attacks. That is, adversaries can infer users' sensitive information by analyzing node representations learned from graph embedding algorithms. In this article, we propose adversarial privacy graph embedding (APGE), a graph adversarial training framework that integrates the disentangling and purging mechanisms to remove users' private information from learned node representations. The proposed method preserves the structural information and utility attributes of a graph while concealing users' private attributes from inference attacks. Extensive experiments on real-world graph data sets demonstrate the superior performance of APGE compared to the state-of-the-arts. Our source code can be found at https://github.com/KaiyangLi1992/Privacy-Preserving-Social-Network-Embedding.",2021,IEEE Internet of Things Journal,,"{'month': 'April', 'issn': '2327-4662', 'doi': '10.1109/JIOT.2020.3036583', 'keywords': 'Privacy;Internet of Things;Social networking (online);Topology;Inference algorithms;Differential privacy;Network topology;Adversarial learning;data privacy;graph embedding;inference attack', 'abstract': ""Recently, the surge in popularity of the Internet of Things (IoT), mobile devices, social media, etc., has opened up a large source for graph data. Graph embedding has been proved extremely useful to learn low-dimensional feature representations from graph-structured data. These feature representations can be used for a variety of prediction tasks from node classification to link prediction. However, the existing graph embedding methods do not consider users' privacy to prevent inference attacks. That is, adversaries can infer users' sensitive information by analyzing node representations learned from graph embedding algorithms. In this article, we propose adversarial privacy graph embedding (APGE), a graph adversarial training framework that integrates the disentangling and purging mechanisms to remove users' private information from learned node representations. The proposed method preserves the structural information and utility attributes of a graph while concealing users' private attributes from inference attacks. Extensive experiments on real-world graph data sets demonstrate the superior performance of APGE compared to the state-of-the-arts. Our source code can be found at https://github.com/KaiyangLi1992/Privacy-Preserving-Social-Network-Embedding."", 'pages': '6904-6915', 'number': '8', 'volume': '8', 'year': '2021', 'title': 'Adversarial Privacy-Preserving Graph Embedding Against Inference Attack', 'journal': 'IEEE Internet of Things Journal', 'author': 'Li, Kaiyang and Luo, Guangchun and Ye, Yang and Li, Wei and Ji, Shihao and Cai, Zhipeng', 'ENTRYTYPE': 'article', 'ID': '9250489'}",IEEE Xplore
"Kung, S.Y.",Compressive Privacy: From Information\/Estimation Theory to Machine Learning [Lecture Notes],Privacy;Data privacy;Entropy;Covariance matrices;Cloud computing;Big data,"Most of our daily activities are now moving online in the big data era, with more than 25 billion devices already connected to the Internet, to possibly over a trillion in a decade. However, big data also bears a connotation of “big brother” when personal information (such as sales transactions) is being ubiquitously collected, stored, and circulated around the Internet, often without the data owner's knowledge. Consequently, a new paradigm known as online privacy or Internet privacy is becoming a major concern regarding the privacy of personal and sensitive data.",2017,IEEE Signal Processing Magazine,,"{'month': 'Jan', 'issn': '1558-0792', 'doi': '10.1109/MSP.2016.2616720', 'keywords': 'Privacy;Data privacy;Entropy;Covariance matrices;Cloud computing;Big data', 'abstract': ""Most of our daily activities are now moving online in the big data era, with more than 25 billion devices already connected to the Internet, to possibly over a trillion in a decade. However, big data also bears a connotation of “big brother” when personal information (such as sales transactions) is being ubiquitously collected, stored, and circulated around the Internet, often without the data owner's knowledge. Consequently, a new paradigm known as online privacy or Internet privacy is becoming a major concern regarding the privacy of personal and sensitive data."", 'pages': '94-112', 'number': '1', 'volume': '34', 'year': '2017', 'title': 'Compressive Privacy: From Information\\/Estimation Theory to Machine Learning [Lecture Notes]', 'journal': 'IEEE Signal Processing Magazine', 'author': 'Kung, S.Y.', 'ENTRYTYPE': 'article', 'ID': '7815484'}",IEEE Xplore
"Benton, Kevin and Camp, L. Jean and Garg, Vaibhav",Studying the effectiveness of android application permissions requests,Privacy;Software;Facebook;Smart phones;Visualization;Androids;Humanoid robots,"Popular platforms including Android and Facebook have adopted a permissions-based model. Under this model applications (apps) are required to declare specific access to user information required for functionality. We conducted two user studies on Amazon's Mechanical Turk to test the efficacy of these permissions requests on the Android platform. We found permissions were ineffective, even with the addition of an additional text warning. Conversely, we found that an app's download count had a strong effect on app installations. In order to determine if it was a failure of our text-based warning, we ran a second experiment with a previously proven visual indicator.",2013,2013 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops),,"{'month': 'March', 'issn': '', 'doi': '10.1109/PerComW.2013.6529497', 'keywords': 'Privacy;Software;Facebook;Smart phones;Visualization;Androids;Humanoid robots', 'abstract': ""Popular platforms including Android and Facebook have adopted a permissions-based model. Under this model applications (apps) are required to declare specific access to user information required for functionality. We conducted two user studies on Amazon's Mechanical Turk to test the efficacy of these permissions requests on the Android platform. We found permissions were ineffective, even with the addition of an additional text warning. Conversely, we found that an app's download count had a strong effect on app installations. In order to determine if it was a failure of our text-based warning, we ran a second experiment with a previously proven visual indicator."", 'pages': '291-296', 'number': '', 'volume': '', 'year': '2013', 'title': 'Studying the effectiveness of android application permissions requests', 'booktitle': '2013 IEEE International Conference on Pervasive Computing and Communications Workshops (PERCOM Workshops)', 'author': 'Benton, Kevin and Camp, L. Jean and Garg, Vaibhav', 'ENTRYTYPE': 'inproceedings', 'ID': '6529497'}",IEEE Xplore
"Ahn, G.-J. and Ko, M. and Shehab, M.",Privacy-Enhanced User-Centric Identity Management,Identity management systems;Privacy;Digital control;Technology management;Protection;Web services;Communications Society;Authentication;Prototypes;User interfaces,"User-centric identity management approaches have received significant attention for managing private and critical identity attributes from the user's perspective. User-centric identity management allows users to control their own digital identities. Users are allowed to select their credentials when responding to an authentication or attribute requester and it gives users more rights and responsibility over their identity information. However, current user-centric approaches mainly focus on interoperable architectures between existing identity management systems and privacy issues have not been considered in depth. In this paper, we propose a category-based privacy preference approach to enhance the privacy of user-centric identity management systems. In addition, we present our proof- of-concept prototype of our approach in the Identity Metasystem.",2009,2009 IEEE International Conference on Communications,,"{'month': 'June', 'issn': '1938-1883', 'doi': '10.1109/ICC.2009.5199363', 'keywords': 'Identity management systems;Privacy;Digital control;Technology management;Protection;Web services;Communications Society;Authentication;Prototypes;User interfaces', 'abstract': ""User-centric identity management approaches have received significant attention for managing private and critical identity attributes from the user's perspective. User-centric identity management allows users to control their own digital identities. Users are allowed to select their credentials when responding to an authentication or attribute requester and it gives users more rights and responsibility over their identity information. However, current user-centric approaches mainly focus on interoperable architectures between existing identity management systems and privacy issues have not been considered in depth. In this paper, we propose a category-based privacy preference approach to enhance the privacy of user-centric identity management systems. In addition, we present our proof- of-concept prototype of our approach in the Identity Metasystem."", 'pages': '1-5', 'number': '', 'volume': '', 'year': '2009', 'title': 'Privacy-Enhanced User-Centric Identity Management', 'booktitle': '2009 IEEE International Conference on Communications', 'author': 'Ahn, G.-J. and Ko, M. and Shehab, M.', 'ENTRYTYPE': 'inproceedings', 'ID': '5199363'}",IEEE Xplore
"Zavvos, Efstathios and Gerding, Enrico H. and Yazdanpanah, Vahid and Maple, Carsten and Stein, Sebastian and schraefel, m.c.",Privacy and Trust in the Internet of Vehicles,Privacy;Internet of Things;Vehicular ad hoc networks;Data privacy;Safety;Security;Peer-to-peer computing;Privacy;trust;Internet of Vehicles;IoV;IoT;connected vehicles,"The Internet of Vehicles aims to fundamentally improve transportation by connecting vehicles, drivers, passengers, and service providers together. Several new services such as parking space identification, platooning and intersection control—to name just a few—are expected to improve traffic congestion, reduce pollution, and improve the efficiency, safety and logistics of transportation. Proposed end-user services, however, make extensive use of private information with little consideration for the impact on users and third parties (those individuals whose information is indirectly involved). This article provides the first comprehensive overview of privacy and trust issues in the Internet of Vehicles at the service level. Various concerns over privacy are formalised into four basic categories: personal information privacy, multi-party privacy, trust, and consent to share information. To help analyse services and to facilitate future research, the main relevant end-user services are taxonomised according to voluntary and involuntary information they require and produce. Finally, this work identifies several open research problems and highlights general approaches to address them. These especially relate to measuring the trade-off between privacy and service functionality, automated consent negotiation, trust towards the IoV and its individual services, and identifying and resolving multi-party privacy conflicts.",2022,IEEE Transactions on Intelligent Transportation Systems,,"{'month': 'Aug', 'issn': '1558-0016', 'doi': '10.1109/TITS.2021.3121125', 'keywords': 'Privacy;Internet of Things;Vehicular ad hoc networks;Data privacy;Safety;Security;Peer-to-peer computing;Privacy;trust;Internet of Vehicles;IoV;IoT;connected vehicles', 'abstract': 'The Internet of Vehicles aims to fundamentally improve transportation by connecting vehicles, drivers, passengers, and service providers together. Several new services such as parking space identification, platooning and intersection control—to name just a few—are expected to improve traffic congestion, reduce pollution, and improve the efficiency, safety and logistics of transportation. Proposed end-user services, however, make extensive use of private information with little consideration for the impact on users and third parties (those individuals whose information is indirectly involved). This article provides the first comprehensive overview of privacy and trust issues in the Internet of Vehicles at the service level. Various concerns over privacy are formalised into four basic categories: personal information privacy, multi-party privacy, trust, and consent to share information. To help analyse services and to facilitate future research, the main relevant end-user services are taxonomised according to voluntary and involuntary information they require and produce. Finally, this work identifies several open research problems and highlights general approaches to address them. These especially relate to measuring the trade-off between privacy and service functionality, automated consent negotiation, trust towards the IoV and its individual services, and identifying and resolving multi-party privacy conflicts.', 'pages': '10126-10141', 'number': '8', 'volume': '23', 'year': '2022', 'title': 'Privacy and Trust in the Internet of Vehicles', 'journal': 'IEEE Transactions on Intelligent Transportation Systems', 'author': 'Zavvos, Efstathios and Gerding, Enrico H. and Yazdanpanah, Vahid and Maple, Carsten and Stein, Sebastian and schraefel, m.c.', 'ENTRYTYPE': 'article', 'ID': '9590550'}",IEEE Xplore
"Wang, Ziyuan",Security and Privacy Issues within the Cloud Computing,Cloud computing;Privacy;Access control;Data privacy;Servers;Computer architecture;Cloud Computing;Security issues;Privacy issues;Security solutions;Privacy solutions,"Cloud Computing has been regarded as evolutionary paradigm recently. It has much strength, such as large storage, ubiquitous network access, cost effective and so on. However it also faces security and privacy concerns. In this paper, we discussed several major security and privacy issues. And we also proposed four effective methods to handle such issues. According to the features of issues, we investigated the feasible solutions and finally found four methods. Such methods can be applied to the generalized Cloud Computing. This paper is original that we consider the characteristics of Cloud Computing adequately, so the methods are well functioned and can be developed further to solve other problems.",2011,2011 International Conference on Computational and Information Sciences,,"{'month': 'Oct', 'issn': '', 'doi': '10.1109/ICCIS.2011.247', 'keywords': 'Cloud computing;Privacy;Access control;Data privacy;Servers;Computer architecture;Cloud Computing;Security issues;Privacy issues;Security solutions;Privacy solutions', 'abstract': 'Cloud Computing has been regarded as evolutionary paradigm recently. It has much strength, such as large storage, ubiquitous network access, cost effective and so on. However it also faces security and privacy concerns. In this paper, we discussed several major security and privacy issues. And we also proposed four effective methods to handle such issues. According to the features of issues, we investigated the feasible solutions and finally found four methods. Such methods can be applied to the generalized Cloud Computing. This paper is original that we consider the characteristics of Cloud Computing adequately, so the methods are well functioned and can be developed further to solve other problems.', 'pages': '175-178', 'number': '', 'volume': '', 'year': '2011', 'title': 'Security and Privacy Issues within the Cloud Computing', 'booktitle': '2011 International Conference on Computational and Information Sciences', 'author': 'Wang, Ziyuan', 'ENTRYTYPE': 'inproceedings', 'ID': '6086163'}",IEEE Xplore
